category_name,total_items_sold,total_sales,avg_profit_ratio,avg_delay_days,late_item_pct
Accessories,5125,128073.75,0.12954036535061875,0.5987035945786683,59.75
As Seen on  TV!,199,19898.01,0.09378787878787878,0.696969696969697,59.09
Baby,198,11697.84,0.13696969696969696,0.4444444444444444,55.05
Baseball & Softball,1714,90522.86,0.14280065897858318,0.6144975288303131,57.5
Basketball,64,26199.36,0.1165625,0.453125,57.81
Books,391,12152.279999999999,0.07961636828644501,0.5652173913043478,58.57
Boxing & MMA,1210,81726.82,0.10907960199004975,0.6666666666666666,59.2
CDs,263,2969.27,0.13155893536121674,0.44106463878326996,53.61
Cameras,562,254046.48,0.13012455516014235,0.6209964412811388,61.21
Camping & Hiking,13157,3946836.8600000003,0.11591700235616022,0.549973398191077,56.91
Cardio Equipment,35937,3533289.21,0.11821560093739539,0.5526447941078004,56.96
Children's Clothing,622,222116.2,0.13387459807073954,0.5659163987138264,55.95
Cleats,70611,4244593.89,0.12511142298205324,0.5779960874372714,57.4
Computers,425,637500.0,0.12150588235294117,0.4611764705882353,52.71
Consumer Electronics,409,103427.92,0.13608801955990218,0.6234718826405868,58.19
Crafts,458,211357.84,0.13336244541484715,0.6200873362445415,59.17
DVDs,459,75450.42,0.10849673202614378,0.5294117647058824,56.43
Electronics,9061,356836.39,0.12239748677248677,0.5740740740740741,58.53
Fishing,16595,6637668.100000001,0.1228556794215125,0.5567339560108466,57.34
Fitness Accessories,824,34481.76,0.15861486486486487,0.6182432432432432,59.46
Garden,466,248182.28000000003,0.14534334763948498,0.5772532188841202,57.94
Girls' Apparel,3414,142986.61,0.12344766930518908,0.5778364116094987,58.4
Golf Apparel,998,33900.02,0.10382284382284382,0.4801864801864802,53.38
Golf Bags & Carts,61,10369.390000000001,0.19147540983606556,0.7704918032786885,68.85
Golf Balls,4159,73118.41,0.11576621525302921,0.5531004989308624,57.38
Golf Gloves,2829,111906.71,0.13410106899902818,0.6151603498542274,58.5
Golf Shoes,1384,103591.0,0.11888446215139442,0.5756972111553785,57.97
Health and Beauty,346,101391.84000000001,0.09722543352601157,0.5202312138728323,58.38
Hockey,1641,46105.75,0.13052721088435373,0.45918367346938777,55.95
Hunting & Shooting,1195,54667.77,0.09818396226415095,0.5613207547169812,58.25
Indoor/Outdoor Games,55333,2765543.34,0.12310665944775312,0.5633459664320519,57.2
Kids' Golf Clubs,606,91340.51,0.11249999999999999,0.5898876404494382,57.58
Lacrosse,978,38015.22,0.13440729483282673,0.662613981762918,62.61
Men's Clothing,198,41748.299999999996,0.05040404040404041,0.5,57.07
Men's Footwear,21263,2763977.37,0.11959507125052908,0.5665240088416498,57.01
Men's Golf Clubs,411,45890.89,0.14291970802919707,0.3175182481751825,49.27
Music,417,108691.04999999999,0.14458033573141488,0.5827338129496403,59.47
Pet Supplies,472,39836.8,0.09563559322033899,0.6970338983050848,61.44
Shop By Sport,31329,1253395.61,0.11312030432715169,0.5744174988112221,57.61
Soccer,293,26272.07,0.14419117647058824,0.6911764705882353,55.15
Sporting Goods,336,110124.0,0.115,0.6011904761904762,58.93
Strength Training,109,54517.53,0.05587155963302752,0.6422018348623854,58.72
Tennis & Racquet,954,42920.46,0.14452229299363056,0.6624203821656051,58.28
Toys,507,5850.78,0.1622879684418146,0.5384615384615384,57.4
Trade-In,2682,65571.18000000001,0.12646868250539955,0.6349892008639308,58.53
Video Games,804,31959.0,0.088818407960199,0.585820895522388,56.59
Water Sports,14880,2981851.2,0.11564112903225807,0.5654569892473118,57.24
Women's Apparel,60232,3011600.0,0.12214207595943527,0.5573672698349572,57.05
Women's Clothing,631,136182.41999999998,0.1523771790808241,0.6402535657686212,58.16
Women's Golf Clubs,379,42076.21,0.16211764705882353,0.5647058823529412,57.06
