order_id,order_region,market,shipping_mode,total_line_items,total_item_units,total_order_value,actual_shipping_days,scheduled_shipping_days,max_lead_time_variance,is_late_delivery,complexity_bucket
49511,North Africa,Africa,Second Class,4,6.0,775.52,2,2,0,0,Medium Complexity (3-4)
58518,Central America,LATAM,Second Class,5,13.0,1130.31,4,2,2,1,High Complexity (5+)
55278,South America,LATAM,Second Class,2,5.0,496.95,4,2,2,1,Low Complexity (2)
37236,US Center,USCA,Second Class,3,8.0,424.1,2,2,0,0,Medium Complexity (3-4)
38481,US Center,USCA,Second Class,2,9.0,617.92,2,2,0,0,Low Complexity (2)
62380,Western Europe,Europe,Second Class,5,12.0,774.91,6,2,4,1,High Complexity (5+)
36127,US Center,USCA,Second Class,4,8.0,536.67,3,2,1,1,Medium Complexity (3-4)
47250,East Africa,Africa,Standard Class,5,12.0,1114.24,6,4,2,1,High Complexity (5+)
49858,North Africa,Africa,Standard Class,5,10.0,1117.38,4,4,0,0,High Complexity (5+)
45214,Central Africa,Africa,Standard Class,5,11.0,577.96,5,4,1,1,High Complexity (5+)
48447,North Africa,Africa,Standard Class,3,10.0,601.9,3,4,-1,0,Medium Complexity (3-4)
46782,West Africa,Africa,Standard Class,4,4.0,1249.92,3,4,-1,0,Medium Complexity (3-4)
46780,Central Africa,Africa,Standard Class,3,5.0,422.15,6,4,2,1,Medium Complexity (3-4)
14481,Western Europe,Europe,Standard Class,3,3.0,545.95,2,4,-2,0,Medium Complexity (3-4)
14959,Western Europe,Europe,Standard Class,3,5.0,796.94,5,4,1,1,Medium Complexity (3-4)
62808,Southern Europe,Europe,Standard Class,2,2.0,609.96,4,4,0,0,Low Complexity (2)
69675,Western Europe,Europe,Standard Class,1,1.0,393.27,6,4,2,1,Single Item (1)
17004,Western Europe,Europe,Standard Class,3,11.0,534.85,5,4,1,1,Medium Complexity (3-4)
63961,Western Europe,Europe,Standard Class,5,17.0,1075.7,2,4,-2,0,High Complexity (5+)
65125,Southern Europe,Europe,Standard Class,4,11.0,557.89,6,4,2,1,Medium Complexity (3-4)
63274,Western Europe,Europe,Standard Class,2,6.0,533.93,5,4,1,1,Low Complexity (2)
71506,Northern Europe,Europe,Standard Class,1,1.0,143.01,2,4,-2,0,Single Item (1)
7284,Central America,LATAM,Standard Class,5,11.0,1193.2,5,4,1,1,High Complexity (5+)
61303,South America,LATAM,Standard Class,4,8.0,772.77,4,4,0,0,Medium Complexity (3-4)
60225,Central America,LATAM,Standard Class,3,8.0,924.11,6,4,2,1,Medium Complexity (3-4)
10124,South America,LATAM,Standard Class,4,7.0,728.47,5,4,1,1,Medium Complexity (3-4)
845,South America,LATAM,Standard Class,5,6.0,652.9,6,4,2,1,High Complexity (5+)
58842,Central America,LATAM,Standard Class,3,3.0,630.31,3,4,-1,0,Medium Complexity (3-4)
61163,Caribbean,LATAM,Standard Class,2,2.0,301.77,4,4,0,0,Low Complexity (2)
56734,Central America,LATAM,Standard Class,3,5.0,308.91,5,4,1,1,Medium Complexity (3-4)
9330,Central America,LATAM,Standard Class,4,6.0,656.41,6,4,2,1,Medium Complexity (3-4)
75272,Southeast Asia,Pacific Asia,Standard Class,1,1.0,284.25,3,4,-1,0,Single Item (1)
25989,Eastern Asia,Pacific Asia,Standard Class,5,8.0,1288.34,5,4,1,1,High Complexity (5+)
28642,South Asia,Pacific Asia,Standard Class,5,12.0,1093.86,3,4,-1,0,High Complexity (5+)
21184,Oceania,Pacific Asia,Standard Class,5,8.0,1050.37,5,4,1,1,High Complexity (5+)
23617,Southeast Asia,Pacific Asia,Standard Class,3,6.0,679.74,3,4,-1,0,Medium Complexity (3-4)
75078,South Asia,Pacific Asia,Standard Class,1,1.0,123.29,4,4,0,0,Single Item (1)
73962,South Asia,Pacific Asia,Standard Class,1,1.0,189.92,3,4,-1,0,Single Item (1)
25662,South Asia,Pacific Asia,Standard Class,5,11.0,552.25,3,4,-1,0,High Complexity (5+)
23687,Oceania,Pacific Asia,Standard Class,3,10.0,921.3,3,4,-1,0,Medium Complexity (3-4)
30805,Oceania,Pacific Asia,Standard Class,2,3.0,45.79,6,4,2,1,Low Complexity (2)
27924,Oceania,Pacific Asia,Standard Class,4,15.0,882.34,5,4,1,1,Medium Complexity (3-4)
72672,Eastern Asia,Pacific Asia,Standard Class,1,1.0,195.49,3,4,-1,0,Single Item (1)
